model,model_file,f1_micro,f1_macro,f1_weighted,accuracy
PhoBERT_MVA_KAN_1 without Other,best_PhoBERT_MVA_KAN_1D.pt,0.840063227475212,0.8318963769285124,0.8416873288144827,0.9298146046159667
PhoBERT_MVA_KAN_1D,best_dualarch_main_model.pt,0.807421257011362,0.7989930304051067,0.8074839292294274,0.9155631227140876
PhoBERT_MHA_MLP,best_PhoBERT_MHA_MLP.pt,0.7196789163426565,0.7121143476640405,0.7217904771502393,0.897500573263013
PhoBERT_DualStream,best_PhoBERT_DualStream.pt,0.7163338453661034,0.7041055177257302,0.715973288908262,0.8983719330428801
PhoBERT_MLP,best_PhoBERT_MLP.pt,0.32788671023965144,0.286603401054823,0.3820965910675841,0.4340747534969044
